0	0	0	0	1	0	2	0	7	1	1	1	0	2
11	2	12	26	3	5	7	1	24	0	2	11	0	819
2	0	2	5	0	2	0	0	1	0	0	4	0	443
1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0
1	0	0	1	0	0	0	0	0	0	0	2	0	0
49	28	10	17	0	0	1	0	2	1	8	18	0	0
6	3	0	3	0	0	0	0	18	0	2	1	0	0
92	57	28	255	0	3	11	0	13	4	28	65	0	5
2	2	5	0	0	0	1	0	0	0	1	4	0	0
3	0	0	3	0	1	3	0	8	1	1	1	0	0
0	0	9	4	84	0	1	0	1	1	1	3	0	236
1	1	1	6	0	1	1	0	5	0	1	0	0	38
2	0	4	1	0	5	0	0	0	0	0	0	0	1
3	4	1	5	0	5	15	0	17	3	4	4	0	4
0	2	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	2	3	2	3	11	0	8	0	0	0	0	2
17	12	14	33	2	9	61	5	53	0	1	92	0	67
0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	75	30	184	13	167	25	13	100	11	41	65	0	24
0	2	0	1	0	5	1	0	1	0	0	2	0	0
3	0	1	8	0	1	1	0	1	1	0	1	0	0
71	43	19	356	1	469	426	12	208	95	23	78	0	124
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	6	0	0	0	0	0	0	0	0	0	3
55	42	14	42	4	18	9	6	45	4	14	31	0	0
10004	56613	19178	66711	9025	5593	3634	537	4642	1430	8586	83478	0	171677
4	2	3	23	0	2	2	1	22	2	0	5	0	0
30	89	45	175	5	34	5	120	119	6	21	237	0	903
3751	23733	4184	6417	3937	1593	571	213	1579	272	1712	29710	0	61686
104	213	399	2498	59	13	9	0	8	4	97	783	0	3282
15	28	28	58	7	0	2	0	2	0	15	144	0	387
40	56	62	343	4	3	7	0	5	5	24	86	0	68
123	351	80	1739	46	129	42	0	157	40	102	220	0	271
5210	31609	14129	54558	4989	2327	692	29	1793	799	6445	51823	0	106103
16	66	58	232	16	17	10	0	446	276	35	109	0	485
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0	0	0	0
55	58	28	181	10	18	65	4	104	15	71	122	0	154
0	0	0	2	0	0	0	0	1	0	0	23	0	0
0	1	0	0	0	0	0	0	0	0	0	5	0	0
123	265	108	162	5	8	17	2	57	3	23	239	0	190
0	0	1	0	0	0	0	0	0	0	0	0	0	0
69	68	51	48	6	49	147	1	34	7	21	97	0	198
40	40	16	174	0	1	7	0	9	0	8	50	0	961
337	407	213	802	20	239	277	22	1059	39	130	332	0	1312
16	1	0	0	0	1	2	0	3	0	0	1	0	4
71	70	10	74	3	25	177	2	487	3	3	123	0	211
5	3	3	12	0	3	45	2	3	0	1	5	0	24
6	4	4	53	0	16	143	0	477	0	0	17	0	4
10	10	4	418	1	78	170	12	188	27	3	0	0	3
