0	1	0	0	0	1	2	7	1
4	19	25	11	12	3	7	24	2
0	16	5	2	2	0	0	1	0
0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	2	0	0
0	0	0	1	0	0	0	0	0
14	0	0	49	10	0	1	2	8
2	0	0	6	0	0	0	18	2
72	93	9	92	28	0	11	13	28
2	0	0	2	5	0	1	0	1
1	1	4	3	0	0	3	8	1
0	0	10	0	9	84	1	1	1
7	0	0	1	1	0	1	5	1
0	0	4	2	4	0	0	0	0
4	4	1	3	1	0	15	17	4
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
1	20	4	4	2	2	11	8	0
9	18	10	17	14	2	61	53	1
0	0	0	0	0	0	0	0	0
41	101	157	74	30	13	25	100	41
3	2	0	0	0	0	1	1	0
5	5	0	3	1	0	1	1	0
73	240	41	71	19	1	426	208	23
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
1	2	0	0	0	0	1	0	0
0	0	3	0	0	0	0	0	0
30	69	9	55	14	4	9	45	14
13003	30375	83689	10004	19178	9025	3634	4642	8586
3	18	0	4	3	0	2	22	0
41	88	68	30	45	5	5	119	21
6208	5235	25371	3751	4184	3937	571	1579	1712
96	81	1863	104	399	59	9	8	97
3	8	247	15	28	7	2	2	15
59	73	60	40	62	4	7	5	24
204	435	98	123	80	46	42	157	102
5149	22424	55464	5210	14129	4989	692	1793	6445
101	105	134	16	58	16	10	446	35
0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	0
54	76	83	55	28	10	65	104	71
0	3	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	0
179	99	485	123	108	5	17	57	23
0	0	3	0	1	0	0	0	0
69	128	202	69	51	6	147	34	21
14	17	11	40	16	0	7	9	8
337	455	265	337	213	20	277	1059	130
0	0	2	16	0	0	2	3	0
18	148	62	71	10	3	177	487	3
2	16	2	5	3	0	45	3	1
7	1	0	6	4	0	143	477	0
21	52	0	10	4	1	170	188	3
5	45	0	7	2	0	117	66	1
3	29	0	0	0	0	3	16	0
0	3	2	0	1	1	22	60	0
46	28	13	13	8	89	145	503	2
92	131	73	60	49	83	2256	1251	10
2	4	0	3	2	10	23	165	2
37	170	18	43	27	51	40	108	18
1	5	6	1	7	6	16	81	4
0	7	0	1	1	3	22	48	0
1	0	4	0	3	5	24	78	1
5	37	25	29	29	184	59	279	8
0	9	0	0	0	0	1	0	2
0	0	1	0	0	0	3	11	0
254	458	78	189	191	75	479	1506	38
0	2	39	2	72	28	1	21	12
7	8	55	6	3	6	72	215	9
0	0	0	0	0	2	4	20	0
2	14	0	1	8	5	25	88	2
106	280	98	152	139	7	124	329	26
14	11	35	51	27	0	44	77	5
7	20	0	1	2	1	30	74	3
0	0	0	0	0	2	4	6	0
0	0	0	0	0	0	0	6	0
0	0	5	0	0	0	4	6	0
